item,projeto_id_fiotec,titulo_projeto,objetivo_geral,coordenador_geral,coordenacao,numero_processo,tipo_instrumento_contratual,parceiro,categoria_teds,numero_instrumento_contratual,natureza_projeto,data_inicio_vigencia,data_fim_vigencia,eixo_mapa_estrategico_fiocruz,valor_total_projetos,recurso_liberado,recurso_a_receber,total_realizado,total_comprometido,saldo_total_atual,saldo_calculado,diferenca_saldo,percentual_realizado_sobre_liberado,percentual_receber_sobre_total
1,GEREB-005-FEX-20,"Saúde Digital Para O Enfrentamento Da Covid-19 Nos Territõrios Do Distrito Federal (Fap, Fiotec. Fiocruz)","Apoiar A Execução E O Desenvolvimento De Projetos E Ações De Pesquisa, Inovação E Extensão Voltadas Para: I) O Desenvolvimento E Incorporação De Tecnologias Digitais Para O Diagnóstico, O Tratamento Da Infecção Causada Pelo Covid-19 E A Prevenção Com Maior Precisão Das Ações De Contenção Do Surto Nos Territórios; Ii) Capacitação Da Força De Trabalho Para Atuar No Ambiente De Saúde Digital E, Iii) Fomento Da Rede Cooperativa De Ciência E Tecnologia Da Cadeia De Inovação Digital Do Df Para O Desenvolvimento De Pesquisas Tecnológicas De Enfrentamento De Doenças Infectocontagiosas, Contribuindo Para A Cooperação Entre A Fiocruz, A Secretaria De Estado De Saúde Do Distrito Federa, A Fap/Df E Outros Parceiros.",Wagner De Jesus Martins,COLABORATÓRIO,25027.000032/2020-90,CONVÊNIO PD&I,FAP/DF,,59/2020,Desenvolvimento Científico E/Ou Tecnológico/ Estímulo À Inovação,2020-06-01,2027-04-27,Inovação E Complexo Produtivo Em Saúde,10000000.00,12562334.71,0.00,10402178.19,403813.65,1756342.87,1756342.87,0.00,82.80,0.00
2,GEREB-008-FIO-20,"Gestão E Governança No Campo Da Ciência, Tecnologia E Inovação Em Saúde (Ct&Is)","Contribuir Para A Produção De Conhecimento E Para O Desenvolvimento De Capacidades E Ferramentas Atrelados Ao Aprimoramento Da Gestão E Ao Aumento Da Capacidade De Governança No Campo Da Ciência, Tecnologia E Inovação Em Saúde (Ct&Is).",José Antonio Silvestre Fernandes Neto,GABINETE,25027.000046/2020-11,TED,MINISTÉRIO DA SAÚDE,TED de SUPORTE,50/2020,Pesquisa,2020-08-12,2026-08-05,"Ciência, Tecnologia, Saúde E Sociedade",31103328.00,31201903.22,0.00,31200658.24,0.00,1244.98,1244.98,0.00,100.00,0.00
3,GEREB-022-FIO-20,Educação Para O Desenvolvimento Dos Servidores Públicos Federais Do Ministério Da Saúde.,"Promover O Desenvolvimento De Pessoas, De Acordo Com O Plano De Desenvolvimento De Pessoas (Pdp) Do Ministério Da Saúde (Ms), Por Meio De Atividades Educacionais.",Luciana Sepúlveda Köptcke,EGF,25027.000200/2020-47,TED,MINISTÉRIO DA SAÚDE,TED MS,109/2020,Ensino,2020-12-29,2026-12-01,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",4291963.00,4517324.30,41292.00,4229365.19,218644.55,69314.56,69314.56,0.00,93.63,0.96
4,GEREB-013-FIO-21,Gestão Estratégica Para Acesso E Qualidade Da Assistência Farmacêutica No Sus.,Contribuir Com As Ações Que Visam A Efetividade Da Gestão Estratégica E Para O Aperfeiçoamento Da Assistência Farmacêutica No Sus.,Daniella Cristina Rodrigues Pereira,NEAD,25027.000166/2021-91,TED,MINISTÉRIO DA SAÚDE,TED de SUPORTE,52/2021,Extensão,2021-12-10,2026-11-30,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",55407026.00,59308483.38,0.00,56680492.85,468078.09,2159912.44,2159912.44,0.00,95.57,0.00
5,GEREB-009-FEX-22,Supervisão Clínico-Institucional Às Equipes Dos Centros De Atenção Psicossocial (Caps) Do Distrito Federal (Df),"Qualificar As Ações Ofertadas Pelos Serviços De Saúde Mental, Álcool E Outras Drogas No Df Por Meio Da Supervisão Clínico- Institucional Com Vistas À Minimização Dos Impactos Relacionados À Espin Decorrente Da Covid-19, Conforme Orientações Da Art. 2º Portaria Gm/Ms Nº 3.350, De 8 De Dezembro De 2020.",André Vinícius Pires Guerrero,NUSMAD,25027.000096/2021-71,CONVÊNIO PD&I,SES/DF,,57/2022,Estímulo À Inovação,2022-06-02,2027-06-02,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",4117133.33,2287055.14,1991646.00,2196926.98,9600.00,80528.16,80528.16,0.00,96.06,48.37
6,GEREB-010-FEX-22,Oferta Do Curso De Especialização Em Medicina De Família E Comunidade,"Cooperação Técnica E Científica Entre Os Parceiros Para Desenvolver O Projeto ""Oferta De Curso De Especialização Em Medicina De Família E Comunidade"", Na Modalidade De Educação À Distância (Ead), Em Seus Componentes De Ensino, Supervisão E Avaliação, Destinado Aos Médicos, Realizando Formação Em Medicina Da Família E Comunidade (Mfc),No Âmbito Do Programa Médicos Pelo Brasil (Pmpb).",Kellen Cristina Da Silva Gasque,UNASUS,25027.000080/2022-40,CONVÊNIO PD&I,ADAPS,,70/2022,Estímulo À Inovação,2022-06-08,2026-08-08,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",37071299.38,38770957.34,0.00,38554860.98,78782.44,137313.92,137313.92,0.00,99.44,0.00
7,GEREB-021-FIO-22,"Aprimoramento, Qualificação E Gestão De Vigilância Laboratorial","Elaboração E Desenvolvimento De Ações E Estratégias Volt Adas À Estruturação, Qualificação E Melhoria De Gestão Do Componente Laboratorial Da Vigilância Em Saúde.",Noely Fabiana Oliveira De Moura,NEVS,25027.000089/2022-51,TED,MINISTÉRIO DA SAÚDE,TED MS,25/2022,Desenvolvimento Científico E/Ou Tecnológico/ Estímulo À Inovação,2022-09-02,2026-07-20,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1500000.00,1589336.54,0.00,1589336.54,0.00,0.00,0.00,0.00,100.00,0.00
8,GEREB-024-FIO-22,Programa De Formação A Distância Destinado A Profissionais E Gestores Do Setor De Saúde Que Atuam Nas Políticas De Promoção De Equidade Em Saúde.,"Desenvolver Um Programa Educacional À Distância Pelo Sistema Una-Sus Destinado A Profissionais E Gestores Do Setor De Saúde Voltado Para As Seguintes Políticas De Equidade Em Saúde: I)Da População Negra; Ii)Das Pessoas Com Albinismo; Iii)Da População Quilombola; Iv)Do Povo Cigano/Romani; V)De Adolescentes Em Conflito Com A Lei; Vi)De Imigrantes, Refugiados E Apátridas; Vii)Das Populações Itinerantes; Viii)Dos Direitos Humanos E Saúde; E Ix)Da Gestão E Implantação De Políticas De Equidade No Sus.",Kellen Cristina Da Silva Gasque,UNASUS,25027.000081/2022-94,TED,MINISTÉRIO DA SAÚDE,TED MS,14/2022,Ensino,2022-09-15,2027-02-04,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",2826360.00,3122619.12,0.00,2664687.80,175110.40,282820.92,282820.92,0.00,85.34,0.00
9,GEREB-001-FIO-23,Apoio Ao Monitoramento E Avaliação Do 1° Ciclo Formativo Dos Programas De Provimento De Profissionais De Saúde Do Ministério Da Saúde,"Desenvolver Pesquisas E Soluções De Apoio À Gestão, De Forma A Dar Continuidade Às Ações Da Se/Una-Sus Visando Ao Monitoramento E Avaliação Do 1º Ciclo Formativo Dos Participantes Dos Programas De Provimento De Profissionais De Saúde Do Ms (Ppps).",Kellen Cristina Da Silva Gasque,UNASUS,25027.000362/2022-47,TED,MINISTÉRIO DA SAÚDE,TED MS,79/2022,Ensino,2023-01-06,2027-06-14,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",3500000.00,3182933.44,527815.00,3129850.91,13470.00,39612.53,39612.53,0.00,98.33,15.08
10,GEREB-002-FIO-23,Avaliação Da Morbidade Materna Grave Em Serviços De Assistência Ao Parto E Nascimento No Brasil.,Identificar A Magnitude Da Morbidade Materna Grave E Seus Determinantes Em Maternidades Com Representatividade Nacional.,Maria Do Carmo Leal,COLABORATÓRIO,25027.000354/2022-09,EMENDA PARLAMENTAR,DEP. PAULA BELMONTE,,40530019,Pesquisa,2023-01-10,2027-01-10,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",542153.00,590477.36,1153.00,514749.32,56800.00,18928.04,18928.04,0.00,87.18,0.21
